ID_Unico,Estado,Fecha_Prog
1661-BATERIA 4D1300TMCG35,PENDIENTE,
1661-BATERIA 4D1300CG24,PENDIENTE,
1661-BATERIA 4D1300RE18,PENDIENTE,
1661-BATERIA 4D1300CG35,PENDIENTE,
1661-BATERIA 4D1300CG25,PENDIENTE,
1661-BATERIA 4D1300CO49,PENDIENTE,
1661-BATERIA 4D1300RE35,PENDIENTE,
1661-BATERIA 4D1300RE37,PENDIENTE,
1661-BATERIA 4D1300RC07,PENDIENTE,
1661-BATERIA 4D1300CT01,PENDIENTE,
1661-BATERIA 4D1300RC04,PENDIENTE,
1661-BATERIA 4D1300CG14,PENDIENTE,
1661-BATERIA 4D1300BZ09,PENDIENTE,
1661-BATERIA 4D1300RC01,PENDIENTE,
1661-BATERIA 4D1300VL03,PENDIENTE,
1661-BATERIA 4D1300RE33,PENDIENTE,
1661-BATERIA 4D1300CT02,PENDIENTE,
1661-BATERIA 4D1300CO50,PENDIENTE,
1661-BATERIA 4D1300RE27,PENDIENTE,
1661-BATERIA 4D1300RE21,PENDIENTE,
1661-BATERIA 4D1300VL01,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VVP45,COMPLETADO,
1668-BATERIA AUTOMOTRIZ 30H 12VVL06,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VCG29,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VRC02,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VCA01,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VRE23,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VRE31,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VCP11,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VMN13,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VBS05,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VCO40,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VRE29,PENDIENTE,
1668-BATERIA AUTOMOTRIZ 30H 12VVP37,PENDIENTE,
1977-BOMBONA SUSPENSIÓN TRASERA 364SQ27 MACK GRANITEVT24,PENDIENTE,
1977-BOMBONA SUSPENSIÓN TRASERA 364SQ27 MACK GRANITEVT26,PENDIENTE,
"2770-CADENA 3/8"" ESLABONADA ACERO TRABAJO PESADOPT02",PENDIENTE,
"2770-CADENA 3/8"" ESLABONADA ACERO TRABAJO PESADOCB05",PENDIENTE,
2957-CAMARA DOBLE TIPO 30 P/FRENOSCB04,PENDIENTE,
3003-CAMPANA 10 HUECOS DELANTERA INTER-7600VD117,PENDIENTE,
3009-CAMPANA 6 HUECOS TRAILERVR33,PENDIENTE,
"3467-042703 ASTEC (NSTU-SC-207) / CHUMACERA TENSORA PARA EJE 2.7/16"" / ELEVADOR DE CALIENTE / PA05PA05",PENDIENTE,
3515-CILINDRO LEVANTAR TAPA 1310426200 ATLAS COPCO XAS185CP15,PENDIENTE,
3515-CILINDRO LEVANTAR TAPA 1310426200 ATLAS COPCO XAS185CP11,PENDIENTE,
3515-CILINDRO LEVANTAR TAPA 1310426200 ATLAS COPCO XAS185CP12,PENDIENTE,
3515-CILINDRO LEVANTAR TAPA 1310426200 ATLAS COPCO XAS185CP10,PENDIENTE,
3515-CILINDRO LEVANTAR TAPA 1310426200 ATLAS COPCO XAS185CP13,PENDIENTE,
